[ 2013-01-22T16:16:07+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:16:07+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003420s ]
[ 2013-01-22T16:16:07+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003543s ]
[ 2013-01-22T16:27:47+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:28:07+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:28:07+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005066s ]
[ 2013-01-22T16:28:07+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005200s ]
[ 2013-01-22T16:28:08+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:28:08+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001968s ]
[ 2013-01-22T16:28:08+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002071s ]
[ 2013-01-22T16:28:09+08:00 ] /sp/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T16:28:09+08:00 ] /sp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004210s ]
[ 2013-01-22T16:28:09+08:00 ] /sp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004336s ]
[ 2013-01-22T16:28:17+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:28:18+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:28:19+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:29:08+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:29:08+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:29:08+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:29:08+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:31:18+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
[ 2013-01-22T16:31:19+08:00 ] /sp/ | ERR: (ThinkException) 无法加载模块Index
